60003 120000
0 1 30010
0 2 30010
0 3 30010
0 4 30010
0 5 30010
0 6 30010
0 7 30010
0 8 30010
0 9 30010
0 10 30010
0 11 30010
0 12 30010
0 13 30010
0 14 30010
0 15 30010
0 16 30010
0 17 30010
0 18 30010
0 19 30010
0 20 30010
0 21 30010
0 22 30010
0 23 30010
0 24 30010
0 25 30010
0 26 30010
0 27 30010
0 28 30010
0 29 30010
0 30 30010
0 31 30010
0 32 30010
0 33 30010
0 34 30010
0 35 30010
0 36 30010
0 37 30010
0 38 30010
0 39 30010
0 40 30010
0 41 30010
0 42 30010
0 43 30010
0 44 30010
0 45 30010
0 46 30010
0 47 30010
0 48 30010
0 49 30010
0 50 30010
0 51 30010
0 52 30010
0 53 30010
0 54 30010
0 55 30010
0 56 30010
0 57 30010
0 58 30010
0 59 30010
0 60 30010
0 61 30010
0 62 30010
0 63 30010
0 64 30010
0 65 30010
0 66 30010
0 67 30010
0 68 30010
0 69 30010
0 70 30010
0 71 30010
0 72 30010
0 73 30010
0 74 30010
0 75 30010
0 76 30010
0 77 30010
0 78 30010
0 79 30010
0 80 30010
0 81 30010
0 82 30010
0 83 30010
0 84 30010
0 85 30010
0 86 30010
0 87 30010
0 88 30010
0 89 30010
0 90 30010
0 91 30010
0 92 30010
0 93 30010
0 94 30010
0 95 30010
0 96 30010
0 97 30010
0 98 30010
0 99 30010
0 100 30010
0 101 30010
0 102 30010
0 103 30010
0 104 30010
0 105 30010
0 106 30010
0 107 30010
0 108 30010
0 109 30010
0 110 30010
0 111 30010
0 112 30010
0 113 30010
0 114 30010
0 115 30010
0 116 30010
0 117 30010
0 118 30010
0 119 30010
0 120 30010
0 121 30010
0 122 30010
0 123 30010
0 124 30010
0 125 30010
0 126 30010
0 127 30010
0 128 30010
0 129 30010
0 130 30010
0 131 30010
0 132 30010
0 133 30010
0 134 30010
0 135 30010
0 136 30010
0 137 30010
0 138 30010
0 139 30010
0 140 30010
0 141 30010
0 142 30010
0 143 30010
