60003 120000
1 2 30010
1 3 30010
1 4 30010
1 5 30010
1 6 30010
1 7 30010
1 8 30010
1 9 30010
1 10 30010
1 11 30010
1 12 30010
1 13 30010
1 14 30010
1 15 30010
1 16 30010
1 17 30010
1 18 30010
1 19 30010
1 20 30010
1 21 30010
1 22 30010
1 23 30010
1 24 30010
1 25 30010
1 26 30010
1 27 30010
1 28 30010
1 29 30010
1 30 30010
1 31 30010
1 32 30010
1 33 30010
1 34 30010
1 35 30010
1 36 30010
1 37 30010
1 38 30010
1 39 30010
1 40 30010
1 41 30010
1 42 30010
1 43 30010
1 44 30010
1 45 30010
1 46 30010
1 47 30010
1 48 30010
1 49 30010
1 50 30010
1 51 30010
1 52 30010
1 53 30010
1 54 30010
1 55 30010
1 56 30010
1 57 30010
1 58 30010
1 59 30010
1 60 30010
1 61 30010
1 62 30010
1 63 30010
1 64 30010
1 65 30010
1 66 30010
1 67 30010
1 68 30010
1 69 30010
1 70 30010
1 71 30010
1 72 30010
1 73 30010
1 74 30010
1 75 30010
1 76 30010
1 77 30010
1 78 30010
1 79 30010
1 80 30010
1 81 30010
1 82 30010
1 83 30010
1 84 30010
1 85 30010
1 86 30010
1 87 30010
1 88 30010
1 89 30010
1 90 30010
1 91 30010
1 92 30010
1 93 30010
1 94 30010
1 95 30010
1 96 30010
1 97 30010
1 98 30010
1 99 30010
1 100 30010
1 101 30010
1 102 30010
1 103 30010
1 104 30010
1 105 30010
1 106 30010
1 107 30010
1 108 30010
1 109 30010
1 110 30010
1 111 30010
1 112 30010
1 113 30010
1 114 30010
1 115 30010
1 116 30010
1 117 30010
1 118 30010
1 119 30010
1 120 30010
1 121 30010
1 122 30010
1 123 30010
1 124 30010
1 125 30010
1 126 30010
1 127 30010
1 128 30010
1 129 30010
1 130 30010
1 131 30010
1 132 30010
1 133 30010
1 134 30010
1 135 30010
1 136 30010
1 137 30010
1 138 30010
1 139 30010
1 140 30010
1 141 30010
1 142 30010
1 143 30010
1 144 30010
1 145 30010
1 146 30010
1 147 30010
1 148 30010
1 149 30010
1 150 30010
1 151 30010
1 152 30010
1 153 30010
1 154 30010
1 155 30010
1 156 30010
1 157 30010
1 158 30010
1 159 30010
1 160 30010
1 161 30010
1 162 30010
1 163 30010
1 164 30010
1 165 30010
1 166 30010
1 167 30010
1 168 30010
1 169 30010
1 170 30010
1 171 30010
1 172 30010
1 173 30010
1 174 30010
1 175 30010
1 176 30010
1 177 30010
1 178 30010
1 179 30010
1 180 30010
1 181 30010
1 182 30010
1 183 30010
1 184 30010
1 185 30010
1 186 30010
1 187 30010
1 188 30010
1 189 30010
1 190 30010
1 191 30010
1 192 30010
1 193 30010
1 194 30010
1 195 30010
1 196 30010
